hnm_code,hn_exclusive,hn_premier,hn_advantage,hn_standard_plus,hn_standard,hn_basic_plus,hn_basic,provider_name,google_name,city,type,group_name,tel_no,area,location
L094,✔,✔,✔,✔,✔,✔,✔,ACCURACY PLUS MEDICAL LABORATORY,Accuracy Plus Medical Laboratory,ABU DHABI,DIAGNOSTIC CENTER,-,97126333923,HAMDAN STREET,M02 Hamdan Bin Mohammed St - opposite Home Centre - Al Danah - Zone 1 - Abu Dhabi
L023,✔,✔,✔,✔,✔,✔,✖,AL BORG DIAGNOSTIC CENTRE FOR LABORATORIES L.L.C.,Al Borg Diagnostics - مختبرات البرج,ABU DHABI,DIAGNOSTIC CENTER,AL BORG DIAGNOSTIC GROUP,02-6716781,AL NAJDA ST,"Al Najda St. (Fatima Bint Mubarak), Bin Arrar Building, 1st Floor"
L105,✔,✔,✔,✔,✔,✔,✖,AL FARHAN MEDICAL LABORATORY - L L C,Al Farhan Medical Centre Baniyas East,ABU DHABI,DIAGNOSTIC CENTER,-,02-5833883,BANIYAS EAST,"First floor, Hamad Mubarak Hamad Al Khaili Building, Sector 9, Baniyas East, Abu Dhabi, P.O. Box:55687"
L078,✔,✔,✔,✔,✔,✔,✔,Dar Al Mouasah Diagnostic Centre,Dar Al Mouasah Diagnostic Centre,ABU DHABI,DIAGNOSTIC CENTER,-,02-6260066,HAMDAN,Abu Dhabi Hamdan street Above HARDEES Next to KFC
L061,✔,✔,✔,✔,✔,✔,✔,IDEAL CLINICAL LABORATORIES,Ideal Clinical Laboratories,ABU DHABI,DIAGNOSTIC CENTER,-,02-5558448,MUSAFFAH,"Opposite to Emirates Future School, Sabihay-10, Musaffah, Abu Dhabi"
L0117,✔,✔,✔,✔,✔,✔,✔,MENA LABS MEDICAL LABORATORY LLC,Menalabs Medical Laboratory,ABU DHABI,DIAGNOSTIC CENTER,-,02-4483699,AL NAJDA,"2nd Floor, Al Mazroui Building,Al Najda, P.O. Box:13568, ABU DHABI"
L111,✔,✔,✔,✔,✔,✔,✖,PROFICIENCY SPECIALIST LABORATORIES,Proficiency Specialist Laboratories,ABU DHABI,DIAGNOSTIC CENTER,-,02-5533171,SHAABIA -EAST 12,"Musaffah,Sha’abia east 12-,Opposite of The Model school, Building C199, P.O. Box:2063, ABU DHABI"
L101,✔,✔,✔,✔,✔,✔,✔,QUALITY DIAGNOSTIC LABORATORY L.L.C,Quality Diagnostic Laboratory,ABU DHABI,DIAGNOSTIC CENTER,-,02-6456788,NAJDA STREET,"Bldg. No.1752 13th Fl. Flat 1304, Al Najda St., Abu Dhabi Islamic Bank, NAJDA STREET, ABUDHBI,P.O. Box: 47273"
L114,✔,✔,✔,✔,✔,✔,✔,THE OPEN MRI CENTER -LLC,The Open Mri Center Llc,ABU DHABI,DIAGNOSTIC CENTER,-,02 444 2246,AL DANA,"EMI Tower - 201, Intersection of Hamdan & Airport Road - Kan'ad St - Abu Dhabi"
L045,✔,✔,✔,✔,✖,✔,✖,UNILABS DIAGNOSTICS L.L.C,Unilabs Abu Dhabi Central Lab,ABU DHABI,DIAGNOSTIC CENTER,SCL,02-6274767,KHALIFA  BIN ZAYED STREET,"Ethihad Building , Khalifa  Bin Zayed Street ,   P.O. Box: 46520, ABU DHABI"
OTH199,✔,✔,✔,✔,✔,✔,✔,YAS CLINIC ONE DAY SURGERY - SOLE PROPRIETORSHIP L.L.C,"Yas Clinic One Day Surgery, Dalma Mall",ABU DHABI,HOSPITAL,YAS CLINIC GROUP ( MEDILIFE SOLE PROPRIETORSHIP L.L.C.),02-2086200,DALMA MALL,"Musaffah, 1st Floor, Shop No: A_1-5A-M41,2G,2F,2E,2D,2C,Unit Owned by Dalma Mall, AUH"
M263,✔,✔,✔,✖,✖,✖,✖,ADVANCED CENTER FOR DAYCARE SURGERY,Advanced Center For Daycare Surgery,ABU DHABI,HOSPITAL,ADVANCED CENTER FOR DAYCARE SURGERY,02-6227700,AIRPORT ROAD,"Jasmine Tower Bldg., Airport Rd., P.O. Box 37496, Abu Dhabi, P.O. Box: 37496"
H093,✔,✔,✔,✔,✔,✔,✔,AL AHALI HOSPITAL COMPANY LLC BRANCH 1,Noor Al Ahlia Medical Center- Branch 1,ABU DHABI,HOSPITAL,AL AHALIA MEDICAL GROUP,02-8119119,MUSAFFAH,Tariff Road  M-24 Mussafah
H008,✔,✔,✔,✔,✔,✔,✔,AL AHLI HOSPITAL COMPANY -WLL,Ahalia Hospital Abu Dhabi- Hamdan Street,ABU DHABI,HOSPITAL,AL AHALIA MEDICAL GROUP,02-6262666,HAMDAN,Opp Du office Hamdan Street
L102,✔,✔,✔,✔,✔,✔,✔,AL ANAMEL MEDICAL CENTER,Care And Cure Center One Day Surgery - Llc Spc,ABU DHABI,HOSPITAL,-,02-6662858,AL KHALEEJ AL ARABI STREET,"AL-Khaleej Al-Arabi Street, Abu Dhabi, UAE, P.O.BOX: 52433"
H055,✔,✔,✔,✔,✔,✖,✖,AL CORNICHE HOSPITAL,Seha - Corniche Hospital,ABU DHABI,HOSPITAL,SEHA,02-6724900,CORNICHE,Corniche Street beside Sheraton Abu Dhabi
H058,✔,✔,✔,✔,✔,✔,✔,AL DHANNAH HOSPITAL (EX. RUWAIS HOSPITAL),Al Dhannah Hospital,ABU DHABI,HOSPITAL,ADNOC GROUP,02-6020575,RUWAIS,"Western Region, Abu Dhabi"
PAUH048,✔,✔,✔,✖,✖,✖,✖,Burjeel Pharmacy LLC - Branch 13,Burjeel Medical Centre Yas Mall(Pharmacy),ABU DHABI,PHARMACY,BURJEEL HOLDINGS,02-2054505,YAS ISLAND,"Medeor Pharmacy Yas Mall , Po.Box: 40330, Yas Island"
M107,✔,✔,✔,✔,✔,✔,✖,AL MAZROUI MEDICAL CENTRE ONE DAY SURGERY LLC,Al Mazroui Medical Centre One Day Surgery,ABU DHABI,HOSPITAL,AL MAZROUI GROUP,02-6723232,NAJDA STREET,"Al Mazroui Bldg. Najda St., cor Al Fala, beside I.D. Design Bldg., P.O. Box: 54873"
H056,✔,✔,✔,✔,✔,✖,✖,AL RAHBA HOSPITAL,Seha - Al Rahba Hospital,ABU DHABI,HOSPITAL,SEHA,02-5064444,AL RAHBA,Middle Region Al Shahama Street Al Rahba AUH
H086,✔,✔,✔,✖,✖,✖,✖,AL SALAMA HOSPITAL,Al Salama Hospital,ABU DHABI,HOSPITAL,AL SALAMA HOSPITAL GRP,02-6966777,TCA,"Abdulla Nuwais, Hamdan Street, Tourist Club Area, P.O. Box: 46266, Abu Dhabi"
H085,✔,✔,✔,✔,✖,✖,✖,AL SALAMA ONE DAY SURGERY CENTER,Al Salama One Day Surgery Center - مركز السلامه لجراحة اليوم الواحد,ABU DHABI,HOSPITAL,AL SALAMA HOSPITAL GRP,02-5047900,BANIYAS,"Baniyas East, Abu Dhabi, P.O. Box: 46266, Abu Dhabi"
H146,✔,✔,✔,✔,✔,✔,✔,BAREEN INTERNATIONAL HOSPITAL,Nmc Royal Hospital - Mohammed Bin Zayed City,ABU DHABI,HOSPITAL,NMC HEALTHCARE,02-5545555,MBZ CITY,"MBZ CITY, P.O. Box:108727, ABUDHABI"
L103,✔,✔,✔,✖,✖,✖,✖,BURJEEL DAY SURGERY CENTER L.L.C,Burjeel Day Surgery Center,ABU DHABI,HOSPITAL,BURJEEL HOLDINGS,02-3079999,AL REEM ISLAND,"Gate and Arc Towers (R1-01 + RG-01), Al Reem Island, Abu Dhabi, P.O.BOX: 130972"
H050,✔,✔,✖,✖,✖,✖,✖,BURJEEL HOSPITAL,Burjeel Hospital,ABU DHABI,HOSPITAL,BURJEEL HOLDINGS,02-5085555,AL NAJDA STREET,"Najda Street, P.O. Box: 7400"
H151,✔,✔,✖,✖,✖,✖,✖,CLEVELAND CLINIC ABU DHABI LLC,Cleveland Clinic Abu Dhabi‎,ABU DHABI,HOSPITAL,CLEVELAND CLINIC GROUP,02-5019000,AL FALAH STREET,"Al Maqam Tower, Al Falah Street, Abu Dhabi, P.O. Box:112412"
H037,✔,✔,✖,✖,✖,✖,✖,COSMESURGE & EMIRATES HOSPITAL FOR ONE DAY SURGERY,Cosmesurge & Emirates Clinics For One Day Surgery,ABU DHABI,HOSPITAL,NMC HEALTHCARE,02-4466422,KARAMA,"Street 13, Delma and Karama intersection, opposite to Public Works Dept., P.O. Box: 30907"
H183,✔,✔,✖,✖,✖,✖,✖,DANAT AL EMARAT HOSPITAL FOR WOMEN & CHILDREN L.L.C,Danat Al Emarat Hospital,ABU DHABI,HOSPITAL,MUBADALA HEALTH GROUP,97126149999,ABU DHABI GATE CITY,Rabdan - Bawabat Abu Dhabi - Abu Dhabi Gate City
H066,✔,✔,✔,✔,✔,✔,✔,DELMA HOSPITAL,Dalma Hospital,ABU DHABI,HOSPITAL,SEHA,02-8070000,WESTERN REGION,Western Region Delma Island Abudhabi.
H064,✔,✔,✔,✔,✔,✔,✔,GHIATHY HOSPITAL,Ghayathi Hospital | مستشفى غياثي,ABU DHABI,HOSPITAL,SEHA,02-8070000,WESTERN REGION,Ruwais Nr Riyathi | Abu Dhabi | United Arab Emirates
M054,✔,✔,✔,✖,✖,✖,✖,GULF DIAGNOSTIC CENTRE HOSPITAL,Gulf Diagnostic Centre Hospital,ABU DHABI,HOSPITAL,-,02-6658090,AL KHALEEJ AL ARABI,"AL Khaleej Arabi Street, P.O. Box: 30702"
H182,✔,✔,✖,✖,✖,✖,✖,HEALTH POINT HOSPITAL LLC,Healthpoint,ABU DHABI,HOSPITAL,MUBADALA HEALTH GROUP,02-4929-000,ZAYED SPORTS CITY,"Zayed Sports City, Abu Dhabi, United Arab Emirates"
H0155,✔,✔,✔,✔,✔,✔,✔,HEART BEAT MEDICAL CENTER & ONE DAY SURGERY L.L.C.,Heart Beat Medical Center & One Day Surgery,ABU DHABI,HOSPITAL,-,02-4449494,MUSHRIF,"Sheikh Rashid Bin Saeed St, Mushrif Area, P.O.Box: 34961,Abu Dhabi-UAE"
H070,✔,✔,✔,✔,✔,✔,✔,LIFECARE  HOSPITAL LLC,Lifecare International Pharmacy Llc,ABU DHABI,HOSPITAL,BURJEEL HOLDINGS,02-5856333,BANIYAS,"Gate 6, Al Raha Village, Al Mafraq Workers Village-2, Baniyas West, P.O. Box: 41766, Abu Dhabi"
H073,✔,✔,✔,✔,✔,✔,✔,LIFECARE HOSPITAL LLC BRANCH 1,Lifecare Hospital Musaffah,ABU DHABI,HOSPITAL,BURJEEL HOLDINGS,02-4148215,MUSAFFAH,"Near Village Mall Behind Adnoc Petrol Pump, Industrial Area, Musaffah, Abu Dhbai, P.O. Box: 133500, Abu Dhabi"
H067,✔,✔,✔,✔,✔,✔,✔,LIWA HOSPITAL,Seha - Liwa Hospital,ABU DHABI,HOSPITAL,SEHA,02-8070000,WESTERN REGION,Liwa-Madinat Zayed Road (E 45 Road) Liwa Abu DhabiLandmark: Near ADNOC Petrol Station
H034,✔,✔,✔,✔,✔,✔,✔,LLH HOSPITAL LLC,Llh Hospital Llc,ABU DHABI,HOSPITAL,BURJEEL HOLDINGS,02-6335522,MUROOR ROAD,"Golden Tower, Elektra St. corner Al Muror Road, P.O. Box: 94666"
H033,✔,✔,✔,✔,✔,✔,✔,LLH HOSPITAL LLC - MUSSAFAH,Llh Hospital Llc - Mussafah,ABU DHABI,HOSPITAL,BURJEEL HOLDINGS,02-5557711,MUSAFFAH,"P.O BOX 92313, SANAYYA 7 NEAR ARAMEX MUSAFFAH"
H062,✔,✔,✔,✔,✔,✔,✔,MADINAT ZAYED HOSPITAL,Madinat Zayed Hospital | مستشفى مدينة زايد,ABU DHABI,HOSPITAL,SEHA,02-8070000,WESTERN REGION,Madinat Road Bada Zayed Abu DhabiLandmark: Opposite Al Dhafra Co-operative
H059,✔,✔,✔,✔,✔,✖,✖,MAFRAQ HOSPITAL,Mafraq Hospital,ABU DHABI,HOSPITAL,SEHA,02-5823100,MAFRAQ,"Mafraq area in Baniyas , Abu Dhabi, P.O. Box: 109090, Auh"
M112,✔,✔,✔,✖,✖,✖,✖,MAGRABI SPECIALIZED HOSPITAL DAY CARE SURGERIES E.E.N.T.,Magrabi Eye And Ear Center – Abu Dhabi (Mushrif Branch),ABU DHABI,HOSPITAL,MAGRABI GROUP,02-6345000,MUSHRIF,"Al Nakheel Tower Banyas Street, P.O. Box: 46583"
H045,✔,✔,✔,✖,✖,✖,✖,MAGRABI SPECIALIZED HOSPITAL DAY CARE SURGERIES E.E.N.T.- BRANCH,Magrabi Eye And Ear Center – Abu Dhabi (Mushrif Branch),ABU DHABI,HOSPITAL,MAGRABI GROUP,02-6345000,MUSHRIF,"Al Khaleej Al Arabi, Al Mushrif Area, P.O. Box: 46583"
H063,✔,✔,✔,✔,✔,✔,✔,MARFA HOSPITAL,Marfa Hospital,ABU DHABI,HOSPITAL,SEHA,02-8070000,WESTERN REGION,Abu Dhabi-Sila Road (E 11) Al Mirfa Abu DhabiLandmark: Near National Bank of Abu Dhabi
H114,✔,✔,✔,✔,✔,✖,✖,MEDEOR 24X7 HOSPITAL LLC-ABU DHABI,Medeor 24X7 Hospital,ABU DHABI,HOSPITAL,BURJEEL HOLDINGS,02-6900600,MADINAT ZAYED AREA,"Opp. Empost, Madinat Zated Area, Muroor Road,"
M610,✔,✔,✔,✔,✔,✔,✔,MEDICAL PARK CONSULTANTS ONE DAY SURGERY CENTRE`,Medical Park Consultants One Day Surgery Center,ABU DHABI,HOSPITAL,MEDICAL PARK GROUP,02-3048888,AL BATEEN,"Al Bateen street, beside BNP paribas, Khalidiya, Abud dhabi"
H039,✔,✔,✔,✔,✔,✖,✖,Mediclinic Hospitals L..LC.-Branch 2,Mediclinic Airport Road,ABU DHABI,HOSPITAL,MEDICLINIC - AL NOOR GROUP,02-4944820,AIRPORT ROAD,"Airport Road, P.O. Box: 48481"
H166,✔,✔,✔,✔,✔,✔,✔,MILLENNIUM HOSPITAL LLC,Millennium Hospital,ABU DHABI,HOSPITAL,AL AHALIA MEDICAL GROUP,02-6113333,MUSSAFAH,C 175 ME 9 Shabia 9 NEAR AL AIN UNIVERSITY Mussafah
M611,✔,✔,✔,✖,✖,✖,✖,MOORFIELDS EYE HOSPITAL CENTRE LLC,Moorfields Eye Hospital - Abu Dhabi,ABU DHABI,HOSPITAL,HEALTH PLUS MEDICAL SERVICES,02-6356161,MARINA MALL,"Marina village villa B01 and B02, behind Marina Mall- in front of Mirage Marina Café."
H137,✔,✔,✔,✔,✔,✔,✔,Nation Hospital,Nation Hospital,ABU DHABI,HOSPITAL,Nation Hospital,02-2011111,AL KARAMAH,"Landmark, Sheik Kalifa Medical City. Main street, Hazza Bin Zayed the First Street. Side street, Al Karamah"
M270,✔,✔,✔,✔,✔,✔,✔,NMC ROYAL FAMILY MEDICAL CENTRE LTD (EX. NMC DAY SURGERY CENTER LLC),Nmc Royal Family Medical Centre,ABU DHABI,HOSPITAL,NMC HEALTHCARE,02-6911500,MOHAMMED BIN ZAYED CITY,"Prestige Tower, Sreet No. 79, Mohamed Bin Zated City, P.O. Box: 114621, Auh"
M584,✔,✔,✔,✔,✔,✖,✖,NMC ROYAL HOSPITAL LLC,"Nmc Royal Hospital, Khalifa City, Abu Dhabi",ABU DHABI,HOSPITAL,NMC HEALTHCARE,02-2035000,KHALIFA CITY,"Plot No. P-1, SE-4, 16th street, Zone 135, Khalifa City"
H090,✔,✔,✔,✔,✔,✖,✖,NMC ROYAL WOMENS HOSPITAL LLC,"Nmc Royal Hospital, Abu Dhabi",ABU DHABI,HOSPITAL,NMC HEALTHCARE,02-5082000,AL JAZIRA SPORTS & CULTURE CLUB,"Commercial Tower B, Al Jazira Sports & Culture Club, Plot No. 36, Area No.E/22/02, Abu Dhabi, P.O. Box: 36856, Abu Dhabi (Head Offce)"
H002,✔,✔,✔,✔,✔,✔,✔,NMC SPECIALTY HOSPITAL - AUH,Nmc Specialty Hospital Abu Dhabi,ABU DHABI,HOSPITAL,NMC HEALTHCARE,02-6179728,MADINAT ZAYED,"NMC Tower Building, Electra Street, P.O. Box: 46222"
H136,✔,✔,✔,✔,✔,✔,✔,PHOENIX  HOSPITAL LLC ( Ex: Al Bustan Speciality Hospital),Phoenix Hospital,ABU DHABI,HOSPITAL,AL AHALIA MEDICAL GROUP,02-6151515,MUSAFFAH,M-10 Near ADNOC Shabiyah 10 Musaffah
H180,✔,✔,✔,✔,✖,✖,✖,REEM HOSPITAL L.L.C,Reem Hospital,ABU DHABI,HOSPITAL,-,02-8152000,REEM ISLAND,"REEM HOSPITAL, OPP. SORBONNE UNIVERSITY, REEM ISLAND, ABU DHABI, UAE"
H080,✔,✔,✔,✔,✔,✖,✖,SEHA DIALYSIS SERVICES- MADINAT ZAYED HOSP,Madinat Zayed Hospital,ABU DHABI,HOSPITAL,SEHA,02-5012925,SDS -MDZ,Al Nahyan Camp AUH
H078,✔,✔,✔,✔,✔,✖,✖,SEHA DIALYSIS SERVICES-AL MARFA HOSP,Marfa Hospital,ABU DHABI,HOSPITAL,SEHA,02-4102900,SDSMARFA,Al Nahyan Camp AUH
H077,✔,✔,✔,✔,✔,✖,✖,SEHA DIALYSIS SERVICES-AL SILA HOSP,Seha - Silaa Hospital,ABU DHABI,HOSPITAL,SEHA,02-5012929,SDS SILA,Western Region Western Region Western Region
H079,✔,✔,✔,✔,✔,✖,✖,SEHA DIALYSIS SERVICES-DELMA HOSPITAL,Dalma Hospital,ABU DHABI,HOSPITAL,SEHA,02-4102900,SDS-DELMA,Delma Hospital AUH
H076,✔,✔,✔,✔,✔,✖,✖,SEHA DIALYSIS SERVICES-GHAITHY HOSPITAL,Ghayathi Hospital,ABU DHABI,HOSPITAL,SEHA,02-5012929,SDS-GHAITHY,Western Region Western Region Western Region
H075,✔,✔,✔,✔,✔,✖,✖,SEHA DIALYSIS SERVICES-SKMC,Seha - Sheikh Khalifa Medical City,ABU DHABI,HOSPITAL,SEHA,02-5012925,SDS-SKMC,Karama Street Abu Dhabi City
M346,✔,✔,✔,✖,✖,✖,✖,SEHA EMIRATES ONE DAY SURGERY CENTER LLC,Seha Emirates Hospital,ABU DHABI,HOSPITAL,Dublin Health Services Management,02-4438999,AL NAHYAN COMPOUND,"Al Ladheem Street, Al Nehyan Camp Area, Abu Dhabi, P.O. Box: 41503, Auh"
H057,✔,✔,✔,✔,✔,✖,✖,SHEIKH KHALIFA MEDICAL CITY,Sheikh Khalifa Medical City,ABU DHABI,HOSPITAL,SEHA,02-8190000,SKMC,Karama Street Abu Dhabi City
H153,✔,✔,✔,✖,✖,✖,✖,SHEIKH SHAKHBOUT MEDICAL CITY,Sheikh Shakhbout Medical City (SSMC),ABU DHABI,HOSPITAL,SEHA,02-4102721,AL MAFRAQ,AL MAFRAQ ABU DHABI
H065,✔,✔,✔,✔,✔,✔,✔,SILA HOSPITAL,Seha - Silaa Hospital,ABU DHABI,HOSPITAL,SEHA,02-8070000,WESTERN REGION,Abu Dhabi-Sila Road (E 11) Al Sila Abu DhabiLandmark: Opposite Al Sila Park
L104,✔,✔,✔,✔,✔,✔,✖,TAJMEEL SPECIALIZED MEDICAL CENTER L.L.C,"Tajmeel Clinic - Aldar Hq, Abu Dhabi",ABU DHABI,HOSPITAL,BURJEEL HOLDINGS,02-3047999,AL SHAHAMA,"23rd Floor, AL DAR HQ Building, Shahama Road, Abu Dhabi, P.O.BOX: 34085"
M722,✔,✔,✔,✔,✔,✔,✔,UNIQUE ALAHALIA OPHTHALMOLOGY ONE DAY SURGERY MEDICAL CENTER,Ahalia Hospital Abu Dhabi- Hamdan Street,ABU DHABI,HOSPITAL,AL AHALIA MEDICAL GROUP,02-4439777,DELMA STREET,Delma Street Old Air Port Road
M499,✔,✔,✔,✔,✖,✔,✔,WELLNESS ONE DAY SURGERY CENTER LLC,Wellness One Day Surgery Center,ABU DHABI,HOSPITAL,Wellness Day care group,02-6422424,MUROOR,"Villa # 111, 21 Dihan Street, Muroor Al Zafrana, Abu Dhabi, P.O. Box 52613"
M248,✔,✔,✔,✔,✔,✔,✔,FIRST CITY MEDICAL CENTER LLC,First City Medical Center,ABU DHABI,MEDICAL CENTER,-,02-6417226,PASSPORT RD,"Mezenine, Abdulla Bin Haider Bldg., Al Falah Street, P.O. Box: 7346"
M1123,✔,✔,✔,✔,✔,✔,✔,A L D MEDICAL CLINIC - SOLE PROPRIETORSHIP L.L.C,A L D Medical Clinic - Sole Proprietorship L.L.C,ABU DHABI,MEDICAL CENTER,YAS CLINIC GROUP ( MEDILIFE SOLE PROPRIETORSHIP L.L.C.),02-5533172,HAMEEM WORKER CITY,Dhabi Hameem Labor Camp- Hameem Worker City; Abu Dhabi; UAE
M1124,✔,✔,✔,✔,✔,✔,✔,A M C MEDICAL CLINIC - SOLE PROPRIETORSHIP L.L.C,A M C Medical Clinic - Sole Proprietorship L.L.C,ABU DHABI,MEDICAL CENTER,YAS CLINIC GROUP ( MEDILIFE SOLE PROPRIETORSHIP L.L.C.),02-5463531,HAMEEM WORKER CITY,CCC HAMEEM LABOR CAMP-Hameem Worker City; Abu Dhabi; UAE
M1125,✔,✔,✔,✔,✔,✔,✔,A M H MEDICAL CLINIC - SOLE PROPRIETORSHIP L.L.C.,A M H Medical Clinic - Sole Proprietorship L.L.C.,ABU DHABI,MEDICAL CENTER,YAS CLINIC GROUP ( MEDILIFE SOLE PROPRIETORSHIP L.L.C.),02-5519457,VILLAGE INN 2- AL MAFRAQ,Village inn 2- Al Mafraq Workers City Labor Camp; Abu Dhabi; UAE
M375,✔,✔,✔,✔,✔,✔,✔,ABU AL-ABYAD CLINIC,Abu Alabyad Island Clinic | عيادة جزيرة أبوالأبيض,ABU DHABI,MEDICAL CENTER,SEHA,02-8070000,WESTERN REGION,Al Gharbia Hospitals Administration  old hospital building Mohamed Kalaf ALMazrouei Street    Madient Zayed
M1172,✔,✔,✔,✔,✔,✖,✖,Abu dhabi blood bank,Seha Blood Bank Services - Abu Dhabi Facility / خدمات بنك الدم صحة - منشأة أبوظبي,ABU DHABI,MEDICAL CENTER,SEHA,-,ABU DHABI,ABU DHABI
M1161,✔,✔,✔,✔,✔,✖,✖,ABU DHABI DIALYSIS CENTER (EX. Abu Dhabi Dental Center),Abu Dhabi Dialysis Center,ABU DHABI,MEDICAL CENTER,SEHA,02 819 1427/8,MADINAT ZAYED,Madinat Zayed Area Behind NMC AUH
A174,✔,✔,✔,✔,✔,✔,✔,ABU SALMAN MEDICAL CENTER,Abu Salman Medical Centre Llc,ABU DHABI,MEDICAL CENTER,-,97125522549,MUSAFFAH ME-10 MOHAMMED BIN ZAYED CITY,ME-10MUSAFFAH SHABIYA BUILDING NO 329 NABASH STREET GROUND FLOOR BEHIND JUNAID PHARMACY  MBZ
M817,✔,✔,✔,✔,✔,✔,✔,Acacia Medical Center,Acacia Medical Center,ABU DHABI,MEDICAL CENTER,-,02-444-5513,AL KARAMAH,Villa #15 Al Karamah Street Abu Dhabi UAE
M1238,✔,✔,✔,✔,✔,✔,✔,ADAM & EVE SPECIALIZED MEDICAL CENTRE L.L.C. - BRANCH,Adam & Eve Specialized Medical Center | Electra Branch,ABU DHABI,MEDICAL CENTER,ADAM & EVE MC,02 621 9996,AL KARAMAH ST,Villa NO: 209 Al Karamah St - near SKMC - Al Manhal - Abu Dhabi
M299,✔,✔,✔,✔,✔,✔,✔,ADAM AND EVE SPECIALIZED MEDICAL CENTER LLC,Adam & Eve Specialized Medical Center | Hijama,ABU DHABI,MEDICAL CENTER,ADAM & EVE MC,26767366,ELECTRA STREET,"1st Floor, Pink Building #501, Near Royal Rose Hotel, Zayed The First Street - E-10 - Abu Dhabi"
M481,✔,✔,✔,✔,✖,✖,✖,ADVANCED CURE DIAGNOSTIC CENTRE LLC,Advance Cure Diagnostic Centre – Main,ABU DHABI,MEDICAL CENTER,-,02-4100-915,AL BATEEN,"Villa 26, Al Bateen, Abu Dhabi St., U.A.E"
M1122,✔,✔,✔,✔,✔,✔,✔,AIC MEDICAL CENTER - SOLE PROPRIETORSHIP L.L.C,Aic Medical Center (Medlife Group),ABU DHABI,MEDICAL CENTER,YAS CLINIC GROUP ( MEDILIFE SOLE PROPRIETORSHIP L.L.C.),02-5463531,AL MAFRAQ LABOR CAMP,CWRC- Al Rayan  – Al Mafraq Workers City; Abu Dhabi; UAE
A033,✔,✔,✔,✔,✔,✔,✔,AILABOUNY MEDICAL CENTRE LLC,Ailabouny Medical Center,ABU DHABI,MEDICAL CENTER,-,26440125,HAMDN STREET,ADIB BUILDING OFFICE NO:102 HAMDAN BIN MOHAMMAD STREET
M1169,✔,✔,✔,✔,✔,✖,✖,AIRPORT CLINIC -1,Airport Clinic,ABU DHABI,MEDICAL CENTER,SEHA,02 575 7875,INTERNATIONAL AIRPORT,Abu Dhabi International Airport Abu Dhabi
M885,✔,✔,✔,✔,✔,✔,✔,Al Amal Medical Center LLC,Al Amal Medical & Dental Center - مركز الامل الطبي و طب الاسنان,ABU DHABI,MEDICAL CENTER,-,00971 25832331,BANIYAS,33 RD STREET BANIYAS EAST 9 ABU DHABI UNITED ARAB EMIRATES -11173
A175,✔,✔,✔,✔,✔,✔,✔,AL AMEEN MEDICAL CENTER,Al Ameen Medical Centre Abu Dhabi,ABU DHABI,MEDICAL CENTER,AL AMEEN AUH,26339722,NAJDA STREET,"Above GiftLand,M Floor,
 Najda Street, Abu Dhabi."
M921,✔,✔,✔,✔,✔,✔,✔,AL AMEEN MEDICAL CENTRE LLC –BRANCH 1,Al Ameen Medical Centre Musaffah,ABU DHABI,MEDICAL CENTER,AL AMEEN AUH,25503115,"M-37, SANAYA","M-37,Near to Progoti Exchange,
 Sanaya, Industrial Area, Musaffah, Abu Dhabi."
M309,✔,✔,✔,✔,✔,✖,✖,AL BATEEN HEALTHCARE CENTER,Seha Clinics Al Bateen عيادات صحة البطين,ABU DHABI,MEDICAL CENTER,SEHA,02 711 4651,AHS,Al Bateen Near Al Ittihad School Al Khalidiyah - Abu Dhabi
M1166,✔,✔,✔,✔,✔,✖,✖,Al Cornice Hospital IVF Center,Seha - Corniche Hospital,ABU DHABI,MEDICAL CENTER,SEHA,02-6724900,CORNICHE ROAD,Corniche Road beside Sheraton Hotel AUH
M377,✔,✔,✔,✔,✔,✖,✖,AL CORNICHE WOMEN HEALTH CENTER,Women'S Health Center Seha,ABU DHABI,MEDICAL CENTER,SEHA,02-6724900,CORNICHE,Corniche Road beside Sheraton Hotel AUH
M373,✔,✔,✔,✔,✔,✔,✔,AL DHAFARA FAMILY MEDICINE CENTER,Al Dhafra Family Medicine Center | مركز الظفرة لطب الأسرة‎,ABU DHABI,MEDICAL CENTER,SEHA,02-8070000,WESTERN REGION,Madinat Zayed Abu Dhabi United Arab Emirates
M1160,✔,✔,✔,✔,✔,✖,✖,Al Dhafra Dental Center,Al Dhafra Dental Center - مركز الظفرة لطب الاسنان,ABU DHABI,MEDICAL CENTER,SEHA,02 819 1801/4,MUROOR ROAD,Muroor Road Intersection Of 4 and 23rd Street Abu Dhabi
M994,✔,✔,✔,✔,✔,✔,✔,Al Dhafra Mobile Mammography Unit,Al Dhafra Mobile Mammography Unit,ABU DHABI,MEDICAL CENTER,SEHA,02-8070000,WESTERN REGION,Western Region AUH
M453,✔,✔,✔,✔,✔,✔,✔,AL DHAFRA MODERN CLINIC,Al Dhafra Modern Medical Centre,ABU DHABI,MEDICAL CENTER,HALA HEALTHCARE GROUP,02-8846651,WESTERN REGION,"UAE Exchange Bldg., Sanayya, Zayed City, Western Region, P.O. Box 58991,Abu Dhabi"
M673,✔,✔,✔,✔,✔,✖,✖,Al Falah Healthcare Center,Seha Clinics Al Falah عيادات صحة الفلاح,ABU DHABI,MEDICAL CENTER,SEHA,2-7115072,AHS,Abu Dhabi - United Arab Emirates
